"id","status","sort","user_created","date_created","user_updated","date_updated","brand_name","model","type","price","price_before","discount_info","partner_name","partner_link_url","partner_link_rel_2","partner_link_title","ceneo_link_rel_2","ceneo_url","ceneo_link_title","image","humidification_efficiency","tested_efficiency","max_area","tested_max_area","water_tank_capacity","water_tank_min_time","water_tank_fill_type","hygrostat","hygrostat_min","hygrostat_max","hygrostat_step","fan_modes_count","min_fan_volume","max_fan_volume","night_mode","evaporative_filter","evaporative_filter_life","evaporative_filter_price","silver_ion","silver_ion_life","silver_ion_price","ceramic_filter","ceramic_filter_life","ceramic_filter_price","uv_lamp","ionization","mobile_app","mobile_features","control_other","remote_control","functions","min_rated_power_consumption","max_rated_power_consumption","rated_voltage","width","height","depth","weight","colors","capability_points","capability","profitability_points","ranking","profitability","review_link","ranking_hidden","Filter_cots_humi","disks","main_ranking","for_plant","for_desk","alergic","astmatic","small","for_kids","big_area","humidification_area","max_area_ro","max_performance","hepa_filter_class","mesh_filter","carbon_filter","type_of_device","is_promo","gallery"
1,"published",,"f0a7c3cf-8fc8-43d8-ae3d-37b3b993c247","2022-04-11T09:03:05.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2025-03-04T09:03:10.000Z","Klarta","Humea WiFi","vapor",499,,,"Klarta","https://klarta.pl/nawilzacze-powietrza/klarta-humea-wifi/","[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]",,,"23c4c4e6-fc15-4950-b2dd-a58c901ea816",300,245,44,35,3,12,"window","1",40,75,5,4,24,"55","1","1",6,69,"0",,,"0",,,"0","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Sterowanie smartfonem"",""Timer"",""Lampka nocna""]",0.9,6.6,,22.9,36.3,22.9,2.3,"[""white"",""Beżowy""]",79,80,85,2,95,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/klarta-humea-wifi/",false,"Wymiana filtra nawilżającego do Klarta Humea WiFi co 6 miesięcy nieustannej pracy - koszt 59 zł. Koszt na sezon (6 miesięcy) - 59 zł. Możliwość zakupu dwupaku filtrów - koszt roczny 109 zł.",,"Tak","Tak","Tak","tak","tak","tak","tak","nie",,,,,,,,true,"[160,161,162,163,164,165,166,167,168,169]"
2,"archived",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-11T11:07:27.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2022-12-18T22:37:20.000Z","Stylies","Orion","vapor",449,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/26601808#crid=507172&pid=16557",,"10bffcc9-4cf1-4138-b231-d6b4fa18e642",350,245,50,35,6,17,"window","1",30,65,5,2,20,"22","0","1",3,79,"1",12,89,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Sygnalizacja pustego zbiornika"",""Aromaterapia"",""Wskaźnik poziomu nawilżenia"",""Programator czasu pracy (wyłączenia)""]",6,18,,37,25,25,2.9,"[""white""]",100,71,57,,59,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stylies-orion/",false,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[10,11]"
3,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-11T11:42:39.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-04-14T09:57:41.000Z","Philips","HU4816/10","vapor",599,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/86384252#crid=293909&pid=16557",,"1be797d0-77b2-45e4-a973-edb6d334910f",300,245,44,35,4,16,"window","1",40,60,10,3,35,,"0","1",6,99,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Timer""]",,25,,24.8,38,24.8,2.2,"[""white""]",79,79,47,4,57,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu4816-10/",false,"Wymiana filtra nawilżającego FY2402 co 6 miesięcy nieustannej pracy - koszt 99 zł. Koszt na sezon (6 miesięcy) - 99 zł, koszt roczny - 198 zł.",,"Tak","Tak","nie","tak","nie","nie","nie","nie",,,,,,,,false,"[12,13,14,15,16,17]"
4,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-11T12:07:22.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T08:43:36.000Z","Philips","HU2718/10","vapor",479,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/101171829#crid=445081&pid=16557",,"7c103901-d4c5-4e40-b7f1-ce3ec74ad01b",200,190,32,27.14286,2,10,"remove_cover","1",40,70,10,3,34,,"1","1",6,79,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Timer""]",17,17,,22,35,22,2.56,"[""black""]",55,55,44,8,52,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu2718-10/",false,"Wymiana filtra nawilżającego FY3446/30 co 6 miesięcy - 79 zł. Koszt na sezon (6 miesięcy) - 79 zł, koszt roczny - 158 zł.",,"Tak","Nie","Tak","tak","nie","tak","nie","nie",,,,,,,,false,"[20,21,22,23,173,174,175,176]"
5,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:09:03.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T09:13:37.000Z","Philips","HU4801/01","vapor",687,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/40915740#crid=243149&pid=16557",,"1a52b4a3-8e81-4434-b517-57f12d5fa655",200,210,25,30,2,10,"remove_cover","0",,,,2,26,,"0","1",3,29,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""brak""]",,14,,24.9,33.9,24.9,2.92,"[""white""]",52,52,46,6,46,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu4801-01/",false,"Wymiana filtra nawilżającego HU4102 co 3 miesiące - 49 zł. Koszt na sezon (6 miesięcy) - 98 zł, koszt roczny - 196 zł.",,"Tak","Nie","nie","nie","nie","nie","tak","nie",,,,,,,,false,"[24,25,26,27,28,93,94]"
6,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:10:38.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-03-03T13:35:08.000Z","Philips","HU4813/10","vapor",499,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/50770020#crid=242565&pid=16557",,"328f313c-a542-4b88-b488-8afc999a9b37",300,245,44,35,2,,"remove_cover","1",40,60,10,3,,"34","1","1",3,65,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Timer""]",,27.8,220,24.9,33.9,24.9,4.34,"[""black""]",64,64,42,10,51,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu4813-10/",false,"Wymiana filtra nawilżającego HU4102 co 3 miesiące - 49 zł. Koszt na sezon (6 miesięcy) - 98 zł, koszt roczny - 196 zł.",,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[29,30,31,32,33,34]"
7,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:15:57.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T08:47:23.000Z","Stadler Form","Oskar Biały","vapor",549,,,,,"[""nofollow""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/20247801#crid=242567&pid=16557",,"6e4a2387-9cd3-466c-ade3-f82186348e7e",370,180,50,25.71429,3.5,9.4,"window","1",40,55,5,2,26,"39","1","1",3,90,"1",12,100,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Aromaterapia""]",6,18,,24.6,29,24.6,3.1,"[""Biały"",""Czarny"",""Tytanowy""]",60,63,47,5,45,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-oskar/",false,"Wymiana kasety filtracyjnej co 2-3 miesiące - 79 zł. Wymiana kostki z jonami srebra co 12 miesięcy - 99 zł. Koszt na sezon (6 miesięcy) - 207 zł, koszt roczny - 415 zł.",,"Tak","Nie","Tak","nie","nie","tak","tak","nie",,,,,,,,false,"[35,36,37,38,39,40,41,42,43,44,45,46,47]"
8,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:23:29.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T08:38:08.000Z","Philips","HU2716/10","vapor",479,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/100938656#crid=445079&pid=16557",,"281f9010-1f27-47b5-b273-26e427b3b2a0",200,190,32,27.14286,2,10,"remove_cover","1",40,70,10,3,34,"49","1","1",6,79,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Timer""]",6.5,17,,22,35,22,2.56,"[""white""]",55,55,41,11,52,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu2718-10/",false,,,"Tak","Tak","Tak","tak","nie","tak","nie","nie",,,,,,,,false,"[49,50,89,90,91,92]"
9,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:25:26.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-03-03T13:57:18.000Z","LIFAair","LAH302","vapor",2999,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/110590140#crid=510451&pid=16557",,"15eecbaf-45b7-4b67-942a-c38b68c0759e",1000,,140,,6.5,6.5,"window","1",,,,,27.5,"48","0","1",24,399,"0",,,"0",,,"1","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Oczyszczanie powietrza (filtr HEPA)"",""Funkcja osuszania filtra"",""Higrostat""]",25,450,,31.5,73.5,31.7,6.9,"[""white""]",100,71,24,,25,,false,,,"Nie","Nie","nie","nie","nie","nie","nie","tak",,,,,,,,false,"[54,55,56,57,58]"
10,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:26:24.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-03-03T13:36:52.000Z","Stylies","Helos","vapor",599,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/57513673#crid=506217&pid=16557",,"698beacf-4a37-42f3-857c-268f723bfbde",200,196,45,28,4,20,"window","1",30,65,5,3,,"23,5","1","1",3,79,"1",12,89,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Aromaterapia"",""Higrostat""]",,6,,28,35,21,2.45,"[""white""]",83,83,46,7,50,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stylies-helos/",false,"Wymiana filtra nawilżającego co 3 miesiące - 79 zł. Wymiana kostki z jonami srebra co 1 rok- 89 zł.
Koszt na sezon (6 miesięcy) - 247 zł, koszt roczny - 405 zł.",,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[59,60,61,62]"
11,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:28:06.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T09:27:08.000Z","Philips","HU4803/01","vapor",619,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/30577829#crid=464952&pid=16557",,"652f2960-f297-431b-ae91-29a196ded265",220,230,25,32.85714,2,9,"remove_cover","1",40,60,10,3,26,"50","1","1",3,49,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Timer""]",,14,,24.9,33.9,24.9,1.5,"[""white""]",55,55,37,13,37,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu4803-01/",false,"Wymiana filtra nawilżającego HU4102 co 3 miesiące - 49 zł. Koszt na sezon (6 miesięcy) - 98 zł, koszt roczny - 196 zł.",,"Tak","Nie","nie","nie","nie","tak","tak","nie",,,,,,,,false,"[64,65,177]"
12,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:29:36.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2024-11-07T09:06:15.000Z","Stylies","Carina","vapor",299,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/20247759#crid=506217&pid=16557",,"a2995acd-9b11-4810-8614-a7fd65a1fdc5",250,110,35,15.71429,3.5,1.4,"window","0",,,,1,26,"26","0","1",3,78,"1",12,89,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""brak""]",8,8,,35,25.5,19,1.6,"[""white""]",37,37,36,14,39,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stylies-carina-2/",false,,,"Tak","Nie","nie","nie","nie","tak","nie","nie",,,,,,,,false,"[66,67,68,69,70]"
13,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:30:58.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-05-08T10:46:14.000Z","Stylies","Alaze","vapor",469,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/90273475#crid=482233&pid=16557",,"926b0e10-a935-42be-ac0c-67cc86f2c49f",280,210,40,30,3,10.7,"window","1",50,50,0,3,27,"42","1","1",3,79,"1",12,89,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat""]",,3.5,,28,27.1,160,1.42,"[""white""]",65,65,35,15,46,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stylies-alaze-2/",false,"Wymiana filtra nawilżającego co 3 miesiące - 79 zł. Wymiana kostki z jonami srebra co 1 rok- 89 zł.
Koszt na sezon (6 miesięcy) - 247 zł, koszt roczny - 405 zł.",,"Tak","Nie","nie","nie","nie","tak","nie","nie",,,,,,,,false,"[71,72,73,74,75]"
14,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:32:12.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2024-08-09T11:24:45.000Z","HB","AW1015DW","sonic",267,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/47464484#crid=242538&pid=16557",,"84bb5acd-4c71-41c9-bb95-f5d92729f734",150,70,15,10,2.2,14.6,"remove_cover","1",40,60,10,3,,"25","0","1",3,39,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Optyczny wskaźnik napełnienia zbiornika"",""Programator czasu pracy (wyłączenia)"",""Wskaźnik poziomu nawilżenia""]",,17.3,,26,37,25,3,"[""white""]",21,31,27,,25,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/hb-aw1015dw/",false,,,"Nie","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[76,77,78,79,80]"
15,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:33:28.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2024-11-07T09:08:26.000Z","Stadler Form","Oskar Little","vapor",406,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/40276036#crid=271732&pid=16557",,"b60f934d-a284-425f-9cbb-10ae9f7abfb0",200,110,30,15.71429,2.5,12.5,"window","0",,,,2,26,"39","1","1",3,84,"1",12,99,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Aromaterapia""]",6,15,,24.6,29,17.5,2.5,"[""white"",""black"",""Tytanowy"",""Czerwony""]",33,36,27,17,29,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-oskar-little/",false,"Wymiana kasety filtracyjnej co 2-3 miesiące - 79 zł. Wymiana kostki z jonami srebra co 12 miesięcy - 99 zł. Koszt na sezon (6 miesięcy) - 207 zł, koszt roczny - 415 zł.",,"Tak","Nie","Tak","nie","nie","tak","nie","nie",,,,,,,,false,"[81,82,83,84,85,86,87,88]"
16,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-13T12:28:19.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T08:46:24.000Z","Stadler Form","Oskar Czarny","vapor",499,,,,,"[""noopener"",""nofollow""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/7659433#crid=242567&pid=16557",,"4b665346-fb4f-41d8-8d72-7779988e11d4",370,180,50,25.71429,3.6,9.4,"window","1",40,55,5,2,26,"39","1","1",3,90,"1",12,100,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Aromaterapia""]",6,18,,24.6,29,24.6,3.1,"[""Tytanowy"",""Czarny"",""Biały""]",60,63,43,9,47,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-oskar/",false,"Wymiana kasety filtracyjnej co 2-3 miesiące - 79 zł. Wymiana kostki z jonami srebra co 12 miesięcy - 99 zł. Koszt na sezon (6 miesięcy) - 207 zł, koszt roczny - 415 zł.",,"Tak","Nie","Tak","nie","nie","tak","tak","nie",,,,,,,,false,"[95,96,97,98,101,102,105]"
17,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2022-05-09T10:41:50.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2024-08-08T14:09:23.000Z","Stadler Form","Oskar Big","vapor",999,1199,"17%",,,"[""noopener"",""nofollow""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/20247804#crid=527010&pid=16557","Sprawdź najtańszą ofertę na Ceneo.pl","d466a97b-a1ce-47c1-9b32-d1fc06037c7c",700,415,100,59.28571,6,8.5,"window","1",40,55,5,4,,"26","1","1",2,79,"1",12,100,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Aromaterapia"",""Sygnalizacja pustego zbiornika"",""Sygnalizacja zużycia filtra""]",8,30,,47,29,20,4.7,"[""white"",""black""]",139,100,32,,33,"https://staging.ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-oskar-big/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[108,109]"
18,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T09:59:46.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:22:46.000Z","Xiaomi","Smartmi Evaporative Humidifier","vapor",374,374,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/xiaomi-smart-mi-pure-evaporative/",,"43f281f7-8247-46f1-bc91-354087f98c16",240,200,50,28.57143,4,20,"window","1",,,,3,34,"47","0","0",,,"0",,,"0",,,"0","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Sygnalizacja pustego zbiornika"",""Funkcja osuszania filtra"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Optyczny wskaźnik napełnienia zbiornika"",""Programator czasu pracy (włączenia)"",""Programator czasu pracy (wyłączenia)""]",2,5,,24,36.3,24,5.17,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/xiaomi-smart-mi-pure-evaporative/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
19,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T10:19:06.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:25:44.000Z","Xiaomi","MiJia Pure Smart Humidifier Pro","vapor",0,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/99092655#crid=547919&pid=16557",,"cadf593b-5d85-4ff2-9b3a-b53118936f81",600,,80,,5,8.3,"remove_cover","1",,,,3,,"50","0","0",,,"0",,,"1",,,"1","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Sygnalizacja pustego zbiornika"",""Funkcja osuszania filtra"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (włączenia)"",""Programator czasu pracy (wyłączenia)""]",,,,28.5,50.8,28.5,5.86,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/xiaomi-pure-smart-humidifier-pro/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
