"id","status","sort","user_created","date_created","user_updated","date_updated","brand_name","model","type","price","price_before","discount_info","partner_name","partner_link_url","partner_link_rel_2","partner_link_title","ceneo_link_rel_2","ceneo_url","ceneo_link_title","image","humidification_efficiency","tested_efficiency","max_area","tested_max_area","water_tank_capacity","water_tank_min_time","water_tank_fill_type","hygrostat","hygrostat_min","hygrostat_max","hygrostat_step","fan_modes_count","min_fan_volume","max_fan_volume","night_mode","evaporative_filter","evaporative_filter_life","evaporative_filter_price","silver_ion","silver_ion_life","silver_ion_price","ceramic_filter","ceramic_filter_life","ceramic_filter_price","uv_lamp","ionization","mobile_app","mobile_features","control_other","remote_control","functions","min_rated_power_consumption","max_rated_power_consumption","rated_voltage","width","height","depth","weight","colors","capability_points","capability","profitability_points","ranking","profitability","review_link","ranking_hidden","Filter_cots_humi","disks","main_ranking","for_plant","for_desk","alergic","astmatic","small","for_kids","big_area","humidification_area","max_area_ro","max_performance","hepa_filter_class","mesh_filter","carbon_filter","type_of_device","is_promo","gallery"
20,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T10:29:14.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-09-02T09:25:38.000Z","Xiaomi","Smartmi Evaporative Humidifier 2","vapor",428,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/97646593#crid=532387&pid=16557",,"f7710607-1294-457d-9499-ceb652e4b4dc",260,220,50,31.42857,4,,"window","1",,,,3,34.3,"50","0","0",,,"0",,,"0",,,"0","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Sygnalizacja pustego zbiornika"",""Zakres prezentowanej wilgotności (w %)"",""Wskaźnik poziomu nawilżenia"",""Programator czasu pracy (włączenia)"",""Programator czasu pracy (wyłączenia)"",""Wskaźnik temperatury""]",,8,,24,36.3,24,4.3,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/xiaomi-smart-mi-pure-evaporative-2/",true,,,"Tak","Nie","nie","nie","nie","nie","tak","nie",,,,,,,,false,"[]"
21,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T10:41:59.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:29:19.000Z","Stadler Form","George","vapor",943,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/90458213#crid=538999&pid=16557",,"3032ea65-c25b-46d8-ab6d-8f66ab46bf81",400,,60,,3.2,8,"remove_cover","1",40,55,5,4,27,"48","0","0",2,109,"1",12,129,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Aromaterapia""]",3,23,,31.5,41.8,21.5,5,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-george/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
22,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T12:16:39.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:30:06.000Z","Webber","HH10001","vapor",1299,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/webber-hh10001/",,"6a3c8ef4-dfaa-4ace-bc37-b7f063cd0b93",1200,,100,,10,,"window","1",30,80,5,2,,"30","1","1",,179,"0",,,"0",,,"0","blade","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Sygnalizacja pustego zbiornika"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (włączenia)""]",,40,,29,69,29,7.2,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/webber-hh10001/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
24,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T09:10:46.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-03-03T13:58:11.000Z","Blaupunkt","AHE601","1",429,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/103360230#cid=25918&crid=455067&pid=16557",,"6d25012a-b7b2-48ac-888a-a6bd580d6cbd",250,280,30,40,4,,,"0",,,,2,,"45","1","1",,79,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Sygnalizacja pustego zbiornika"",""Blokada rodzicielska"",""Automatyczne wył. przy pustym zbiorniku""]",,21.2,,26,35.6,26,3,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/beautitiec-szk-a420/",true,,,"Nie","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
25,"draft",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T09:48:28.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-03-18T10:30:10.000Z","Beautitec","SZK-A420","vapor",440,,,"Aze.pl","https://www.aze.com.pl/pl/p/Nawilzacz-ultradzwiekowy-Beautitec-SZK-A500/2237","[""nofollow"",""noopener""]","Link do Aze.pl","[""nofollow"",""noopener""]",,,"c0ccc145-2f4f-4376-87b6-fe7f1ed34e2a",250,280,30,40,4,,,"0",,,,2,,"45","1","1",,79,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Sygnalizacja pustego zbiornika"",""Blokada rodzicielska"",""Automatyczne wył. przy pustym zbiorniku""]",,21.2,,26,35.6,26,3,"[""white""]",,0,,,0,"https://staging.ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/beautitec-szk-a420/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
26,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T10:03:28.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T08:34:00.000Z","Philips","HU4811/10","vapor",409,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/62181099#crid=548080&pid=16557",,"a2497da7-8fd6-41b2-be10-b2b10f92a721",250,,38,,2,,"remove_cover","0",,,,2,34,,"0","1",3,49,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[]",,15,,31,40.5,31,2.96,"[""white""]",,53,,,53,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu4811-10/",false,"filtr HU4102 – wymienny co 3 miesiące, cena – 49 zł",,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
27,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T10:18:11.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:20:07.000Z","Philips","HU3916/10","vapor",660,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/101935256#crid=445101&pid=16557",,"63d855a7-2bc8-4cbb-8fc4-6de904c5c913",300,,45,,3,,"remove_cover","1",40,60,10,3,,"49","0","1",6,79,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (wyłączenia)""]",10,29,,25,37.5,25,2.61,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu3916-10/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
28,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T10:20:30.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:20:20.000Z","Philips","HU3918/10","vapor",765,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/101936461#crid=445109&pid=16557",,"c5cb14f9-260b-4ba2-8f8c-afb0748edd03",300,,45,,3,,"remove_cover","1",40,60,10,3,,"49","0","1",6,79,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (wyłączenia)""]",10,29,,25,37.5,25,2.61,"[""black""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu3916-10/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
30,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T11:10:54.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-04-01T09:06:28.000Z","Philips","HU5931/10","vapor",1697,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/57757250#crid=297081&pid=16557",,"e28e15e3-296b-426e-aa23-f1de1271ab6f",600,700,82,100,4,,"remove_cover","1",,,,5,,,"0","1",,59,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Zakres prezentowanej wilgotności (w %)"",""Wskaźnik poziomu nawilżenia"",""Automatyczne wył. przy pustym zbiorniku"",""Sygnalizacja pustego zbiornika"",""Sygnalizacja zużycia filtra"",""Blokada rodzicielska"",""Programator czasu pracy (wyłączenia)"",""Wskaźnik temperatury""]",6,16,,27.5,46,44.6,8.8,"[""silver""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu5931-10/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","tak",,,,,,,,false,"[]"
31,"draft",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T11:41:05.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2024-11-14T11:11:17.000Z","Philips","HU4706/11","vapor",389,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/47656975#crid=293730&pid=16557",,"8fa7ae99-dfa0-46ea-88ae-140741f0a0c9",150,,25,,1.3,,"remove_cover","0",,,,2,27,"40","0","1",3,59,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku""]",,14,,19.8,30.8,16.2,1.36,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu4706-11/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
32,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T12:32:25.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:28:57.000Z","Xiaomi","Mi Smart Antibacterial Humidifier","sonic",249,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/98189785#crid=485487&pid=16557",,"f2e0ab55-c31c-46b5-9c89-3734c73e1d04",300,400,40,57.14286,4.5,,"remove_cover","1",40,70,10,3,25,"38","0","0",,,"0",,,"0",,,"0","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Sygnalizacja pustego zbiornika"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (włączenia)"",""Programator czasu pracy (wyłączenia)""]",,27.4,,19,35.3,19,1.9,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/xiaomi-cjjsq01zm/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
33,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-02T11:44:16.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:29:55.000Z","DexXer","H2O Humidifier","sonic",25,,,"Allegro","https://allegro.pl/kategoria/urzadzenia-medyczne-nawilzacze-oczyszczacze-powietrza-260403?string=h2o%20nawil%C5%BCacz&utm_source=admitad&utm_medium=afiliacja&admitad_uid=3938adaaa69d1073f28aa07dc0822c47","[""noopener"",""nofollow""]",,"[""nofollow"",""noopener""]",,,"331882ba-d1a6-4814-87b0-a569d767dacd",35,45,0,6.42857,0.3,,"remove_cover","0",,,,2,,"15","0","0",,,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Aromaterapia"",""Podświetlenie w kilku kolorach""]",,2,12,7.8,11.9,7.8,,"[""black"",""white"",""Różowy""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/h2o-nawilzacz/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
34,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-02T11:54:25.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-03-03T13:47:41.000Z","Duka","Humid","sonic",279,,,"Duka.pl","https://duka.com/pl/nawilzacz-powietrza-ultradzwiekowy-duka-humid-czarny-1211280","[""noopener"",""nofollow""]",,"[""nofollow"",""noopener""]",,,"46084837-28b4-4a57-8d9f-a073d8f4b6b5",350,200,30,28.57143,2.8,,,"0",,,,4,,,"0","0",,,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"1","[""Automatyczne wył. przy pustym zbiorniku""]",,23,,18.5,80,18.5,,"[""white"",""black"",""Brązowy""]",,37,,,51,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/duka-humid/",false,,,"Nie","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
35,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-02T12:16:58.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-03-03T13:55:30.000Z","Eldom","NU5","sonic",179,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/16690959#crid=260427&pid=16557",,"c3887478-cf06-48d3-b08a-cf7e407f89fa",550,550,0,78.57143,5.2,,,"1",,,,4,35,,"0","0",,,"0",,,"1",12,15,"0","blade","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Sygnalizacja pustego zbiornika"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (włączenia)"",""Programator czasu pracy (wyłączenia)""]",,30,,23,33,16,2.11,"[""white""]",,50,,,52,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/eldom-nu5/",false,,,"Nie","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
36,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-02T12:35:11.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-04-01T09:11:54.000Z","Setti+","Smart AH900","sonic",529,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/99672702#cid=25918&crid=476360&pid=16557",,"b104bbdb-5774-4b5e-87e7-33887ba53d6c",400,400,30,57.14286,4.3,,,"1",25,65,,7,,"35","1","0",,,"0",,,"0",,,"1","no","1","[""Wi-Fi 2,4 GHz""]",,"1","[""Higrostat"",""Sterowanie smartfonem"",""Lampa UV"",""Aromaterapia""]",1,1.78,220,,,,,"[""silver""]",,68,,,36,"/recenzje-nawilzaczy-powietrza/setti-smart-ah900/",false,"Filtr ceramiczny",,"Nie","Nie","nie","nie","nie","nie","nie","tak",,,,,,,,false,"[]"
37,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-12T08:58:23.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:18:59.000Z","Götze & Jensen","AH201KG","sonic",379,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/58242078#crid=257623&pid=16557",,"1cfac2f3-d980-4e2e-970c-0489ac532a0d",300,,20,,5,,"remove_cover","1",40,85,,3,,"35","1","0",,,"0",,,"1",6,25,"0","blade","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (wyłączenia)""]",,27,,25,30,15,,"[""black""]",,0,,,0,,true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
38,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-12T09:20:47.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-03-03T13:56:29.000Z","Webber","HH3002","sonic",440,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/112944660#crid=483214&pid=16557",,"2a0e68b4-2fe4-40d5-a494-6f81ce59aec4",300,,30,,3,,"remove_cover","1",,,,3,30,,"1","0",,,"0",,,"1",6,79,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Zakres prezentowanej wilgotności (w %)"",""Wskaźnik poziomu nawilżenia"",""Programator czasu pracy (wyłączenia)""]",,18,,24,34.5,24,,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/webber-hh3002/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
40,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2023-01-03T12:32:29.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:12:03.000Z","Smartmi","Rainforest Humidifier","vapor",799,799,,,,"[]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/141274913#crid=574865&pid=16557","Sprawdź najniższą cenę w Ceneo.pl","870c0b24-4228-4538-867a-e19d5e5f20bd",200,200,28,28.57143,2,15,"remove_cover","1",0,100,1,5,,"50 dB","1","1",0,0,"0",,,"0",,,"0","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Sygnalizacja pustego zbiornika"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (włączenia)"",""Programator czasu pracy (wyłączenia)"",""Sterowanie głosowe (Amazon Alexa, Google Home)""]",2.4,9.4,12,22,44,22,3.3,"[""Biały""]",70,50,29,,30,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/smartmi-rainforest/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
41,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2023-01-03T14:07:36.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T08:37:03.000Z","Stadler Form","Karl","vapor",1074,,,,,"[""noopener"",""nofollow""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/141544643#crid=576832&pid=16557","Sprawdź cenę na Ceneo.pl","ae317ea9-4926-48dc-a77e-2eae9f04a740",690,482,98,68.85714,4.7,7,"window","1",40,55,5,4,27,"59","0","1",3,74,"1",12,99,"0",,,"0","no","1","[""Wi-Fi 2,4 GHz""]","Smart Life-Smart Living","0","[""Higrostat"",""Mobilne sterowanie""]",14,30,,29.6,30.4,21.2,,"[""Szary""]",100,89,53,3,55,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-karl/",false,"Wymiana kasety filtracyjnej co 2-3 miesiące - 74 zł. Wymiana kostki z jonami srebra co 12 miesięcy - 99 zł. Koszt na sezon (6 miesięcy) - 197 zł, koszt roczny - 395 zł.",,"Tak","Tak","nie","tak","tak","nie","nie","tak",,,,,,,,false,"[170,171,172]"
42,"draft",,"f76fde35-7e8f-49bd-893d-9706def1e294","2023-01-03T14:58:30.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-04-01T09:05:42.000Z","Stadler Form","Karl Big","vapor",1899,,,,,"[]",,"[""noopener"",""nofollow""]",,"Sprawdź cenę na Ceneo.pl","aedccbf7-deb3-432c-b4c9-74ab4ea36609",1100,700,157,100,11,10,,"1",40,55,5,4,27,"60","1","1",3,149,"1",12,98,"0",,,"0","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Programator czasu pracy (wyłączenia)"",""Wskaźnik poziomu nawilżenia"",""Sygnalizacja pustego zbiornika"",""Automatyczne wył. przy pustym zbiorniku""]",2.4,40,,50.5,33.5,24.2,4.6,"[""Szary""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-karl-big/",false,,,"Tak","Nie","nie","nie","nie","nie","nie","tak",,,,,,,,false,"[]"
43,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2023-01-09T16:16:50.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2024-08-06T12:15:04.000Z","Boneco","W200","1",999,,,,,"[]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/55086275#crid=440979&pid=16557","Sprawdź cenę na Ceneo.pl","7a082262-fb96-4321-94c4-4a2237fc57c3",350,,50,,4.5,,"remove_cover","0",,,,2,27,"43","1","1",,,"1",12,105,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Aromaterapia"",""Elektroda Ionic Silver Stick"",""Automatyczne wył. przy pustym zbiorniku"",""Sygnalizacja pustego zbiornika""]",12,22.5,,28,41.2,28,4.9,"[""Biały""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje/boneco-w200/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[115,116]"
