"id","status","sort","user_created","date_created","user_updated","date_updated","brand_name","model","colors","image","price","price_date","price_before","discount_info","partner_name","partner_link_url","partner_link_rel_2","partner_link_title","ceneo_url","ceneo_link_rel_2","ceneo_link_title","vacuum_cleaner_type","suction_power_aw","suction_power_pa","number_of_suction_power_levels","automatic_power_adjustment","suction_power_highest_level_pa","suction_power_medium_level_pa","suction_power_low_level_pa","maximum_engine_power","rotation_speed","noise_level","battery_change","cable_length","power_supply","maximum_operation_time","battery_charging_time","battery_voltage","battery_capacity","mopping_function","active_washing_function","self_cleaning_function","self_cleaning_underlays","clean_water_tank_capacity","dirty_water_tank_capacity","dust_tank_capacity","hand_vacuum_cleaner","led_backlight","uv_technology","detecting_dirt_on_the_floor","detecting_carpet","display","display_type","pollution_filtration_system","cyclone_technology","mesh_filter","hepa_filter","epa_filter","electric_brush","bendable_pipe","turbo_brush","carpet_and_floor_brush","attachment_for_pets","telescopic_tube","charging_station","additional_equipment","for_pet_owners","for_allergy_sufferers","weight","warranty","profitability","capability","capability_points","profitability_points","ranking","review_link","mopping_time_max","vacuuming_time_max","easy_emptying_tank","continuous_work","displaying_battery_status","operation_time_turbo","operation_time_eco","weight_hand","type_of_washing","main_ranking","type","ranking_hidden","is_promo","videorecenzja1"
45,"published",,"389b56e9-e46f-4549-b406-ed747d9163c6","2024-10-17T20:07:01.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-24T13:33:47.000Z","Xiaomi","Vacuum Cleaner G10 Plus","[""biały""]","44df3a15-5923-40fd-b8ea-acca0f9d605f",1249,"2025-03-24",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/155137878#crid=717247&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",150,,,,,,,425,108000,79,"Jest",,"[""Akumulatorowe""]","45","4",25,3000,"Jest","Brak",,,0.25,,0.6,"Jest","Jest",,,,"Jest","[""LED""]","5-stopniowy","Jest",,"Jest",,"Jest","Brak",,"Jest","Jest",,"[""stacja do montażu na ścianie""]","[""dysza szczelinowa"",""szczotka 2w1""]","Tak","Tak",4.2,,79,71,,,,"/odkurzacz/xiaomi/mi-vacuum-cleaner-g10-plus/",45,45,"Jest",,"Procentowo","8","45",,"3","tak","stick_wet",false,false,
47,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-01-22T10:21:18.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-04-08T08:45:30.000Z","Hygse","Akva","[""szary"",""czarny""]","62bc768d-4144-4734-b9ac-7fb50ec9e58a",1399,"2025-01-22",,,"HYGSE","https://hygse.pl/odkurzacze-pionowe/hygse-akva/","[""noopener"",""nofollow""]",,,"[""nofollow"",""noopener""]",,"[""bezworkowy""]",,16000,3,"Brak","16 000",,,200,600,70,"Brak",,"[""Akumulatorowe""]","40","5",21.6,4000,"Jest","Jest","Jest","Brak",750,720,,"Brak","Brak","Brak","Brak","Brak","Jest","[""LED""]",,"Brak","Jest","Jest","Brak","Jest","Brak","Brak","Jest","Brak","Brak","[""samostojąca konstrukcja odkurzacza"",""Stacja ładująco-czyszcząca""]",,"Tak","Tak",4,24,,,,,,"/odkurzacz/hygse/akva/",40,,"Brak","Jest","Procentowo",,,,"1","nie","stick_wet",,false,
48,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-01-22T12:29:35.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-24T13:42:45.000Z","Electrolux","Ultimate 800","[""czarno-złoty""]","180c18b6-44fe-46d0-b1ab-0d3bd493d1d2",2144,"2025-01-22",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/131928174#crid=723728&pid=16557","[""noopener"",""nofollow""]","Link do Ceneo.pl","[""bezworkowy""]",150,,3,"Jest",,,,,,80,"Jest",,"[""Akumulatorowe""]","35","2,5",25.2,2500,"Brak","Brak","Brak",,,,,"Jest","Jest",,"Jest","Brak","Jest",,"5-stopniowy","Jest","Jest",,,"Jest",,,,"Jest","Jest",,,"Tak","Tak",2.88,,69,66,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/electrolux/ultimate-800/",,,"Brak","Jest","Procentowo",,,,,"tak","stick",false,false,
49,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-01-27T10:21:25.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-02-10T09:32:06.000Z","Philips","SpeedPro Aqua FC6729/01",,"06b34a01-a59a-4dc8-b889-f342a6b2534d",,,,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/80935183#crid=723749&pid=16557","[""noopener"",""nofollow""]","Sprawdź na Ceneo.pl",,,,2,"Brak",,,,,,80,"Jest",,"[""Akumulatorowe""]","50",,21.6,,"Jest","Brak","Brak","Jest",0.28,,0.4,"Jest","Jest",,,,"Jest","[""LED""]","2-stopniowy","Jest","Jest","Brak","Brak","Jest","Brak","Jest",,,,"[""stacja ładująca do montażu na ścianie""]",,,"Tak",2.45,24,,,,,,"/odkurzacz/philips/speedpro-aqua/",,,,,"Procentowo","22","50",,"3","nie",,false,false,
50,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-01-28T11:06:32.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-03-18T12:00:19.000Z","Philips","AquaTrio 9000 XW9463/11","[""czarny""]","759db67d-231d-472f-9963-49117ee31047",2999,"2025-01-28",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/175688372#crid=724430&pid=16557","[""noopener"",""nofollow""]",,"[""bezworkowy""]",,,2,"Brak",,,,,,,"Jest",,"[""Akumulatorowe""]","58","4",,,"Jest","Jest","Jest",,450,420,,"Jest","Jest",,,,"Jest",,,,,,,"Jest",,,,"Jest",,"[""stojak""]",,,,,,53,45,,,,"/odkurzacz/philips/aquatrio-9000-xw9463-11/",38,,"Brak",,"Procentowo","26",,,"1","tak","odkurzaczmyjacy",false,false,
51,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-01-31T12:16:23.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-26T13:34:21.000Z","Hoover","HF500","[""srebrny""]","64bcf252-075f-44d5-85ee-fe0d821e3e52",999,"2025-01-31",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/142017171#crid=724968&pid=16557","[""nofollow"",""noopener""]","Sprawdź na Ceneo.pl","[""bezworkowy""]",75,,2,"Jest",,,,290,100000,,"Jest",,"[""Akumulatorowe""]","90","2.5",22,,"Brak",,"Brak",,,,0.45,"Jest","Jest",,,,"Jest",,"1-stopniowy","Jest",,,"Jest",,,,"Jest",,,"[""brak""]",,"Tak","Tak",2.4,24,,,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/hoover/hf500/",,,,,"Procentowo","90","70",,,"nie","stick_led",,false,
52,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-02-04T14:24:46.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-02-05T13:10:17.000Z","Tineco","iFloor Breeze","[""biały""]","d99cca2e-9a1e-4099-8a50-a7702369e5ad",849,"2025-02-04",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/147474791#crid=725021&pid=16557","[""nofollow""]",,"[""bezworkowy""]",12,,3,"Brak",,,,190,,78,,,"[""Akumulatorowe""]","20","5",21.6,3000,"Jest","Jest","Jest","Brak",,0.5,0.6,"Brak","Brak","Brak",,"Brak","Jest","[""LED""]",,"Brak","Brak","Brak","Brak","Jest","Brak","Brak","Brak","Brak","Brak","[""samostojąca konstrukcja odkurzacza""]",,"Tak","Tak",4.2,24,,,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/tineco/ifloor-breeze/",,,,"Brak","Wskaźnik",,,,"1","nie","stick_wet",,false,
53,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-02-11T11:53:06.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T06:28:31.000Z","Sharp","SA-VP3501BS","[""czarny""]","5e3b90b7-e176-4694-9960-d85e4a486c06",899,"2025-02-11",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/140684254#crid=726575&pid=16557","[""noopener"",""nofollow""]","Sprawdź na Ceneo.pl","[""bezworkowy""]",,,2,"Brak",,,,,,82,"Jest",,"[""Akumulatorowe""]","60","210",24,2600,"Brak","Brak","Brak","Brak",,,0.65,"Jest","Jest","Brak","Brak","Jest","Jest",,"4-stopniowy","Jest","Jest",,"Jest","Jest",,"Brak","Jest","Brak","Jest","[""samostojąca konstrukcja odkurzacza"",""stacja ładująca do montażu na ścianie""]","[]","Tak","Tak",2.65,24,73,60,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/sharp/sharp-sa-vp4000ws/",,,"Jest",,"Procentowo","14","60",,,"tak","stick_electro",false,false,
54,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-02-19T08:44:55.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-24T13:38:22.000Z","Samsung","Bespoke Jet Plus Complete","[""biały"",""granat"",""biel""]","dedfea63-08ef-4143-9ba4-8808b01367db",2999,"2025-02-19",,,,,"[""nofollow""]",,"https://www.ceneo.pl/159899121?srsltid=AfmBOoq-B9H82IUCXteWPbsjXjvUHeofwZP44futg4VEiZdFLH7ZULu_#crid=727127&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",,,4,"Brak",,,,580,4000,86,"Jest",,"[""Akumulatorowe""]","60","3,5",25.2,2200,"Jest","Jest","Jest","Brak",150,,0.5,"Jest","Jest","Brak","Brak","Brak","Jest","[""LED""]","5-stopniowy","Jest","Jest","Jest","Brak","Jest","Jest","Brak","Jest","Jest","Jest","[""samostojąca konstrukcja odkurzacza""]",,"Tak","Tak",1.44,24,67,70,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/samsung/bespoke-jet/",,,"Jest","Jest","Czasowo",,,,"2","tak","stick",false,false,
55,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-02-25T14:30:18.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-24T13:30:05.000Z","Tefal","X-Force Flex 15.60","[""czarny""]","a31b5cce-c441-4cfb-82d9-2dfa74b1ebc9",2499,,,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/153594072#crid=728278&pid=16557","[""noopener"",""nofollow""]",,"[""bezworkowy""]",230,,4,"Jest",,,,550,,,"Jest",,"[""Akumulatorowe""]","80","3",,,"Jest",,,,,,,"Jest","Jest",,,,,"[""LED""]",,,"Jest","Jest",,"Jest","Jest",,,"Jest",,"[""stojak""]",,,,,,76,79,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/tefal/x-force-flex-15-60/",,,,,,,,,"3","tak","stick_wet",false,false,
56,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-02-27T14:52:30.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-24T13:26:57.000Z","Miele","Miele Triflex HX2 Pro","[""biały"",""czarny""]","5ae8a195-23d1-44ad-846f-862a5da139b6",2799,"2025-03-24",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/135534456#crid=728422&pid=16557","[""nofollow""]",,"[""bezworkowy""]",192,,3,"Jest",,,,272,,73,"Jest",,"[""Akumulatorowe""]","120","4",,,"Brak","Brak",,"Brak",,,0.5,"Jest","Jest","Brak","Jest","Brak","Brak",,"3-stopniowy","Jest","Jest","Jest","Brak","Jest","Brak","Brak","Jest","Brak","Brak","[""uchwytbezładowania""]",,"Nie","Tak",3.6,24,76,83,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/miele/miele-triflex-hx2-pro/",,,"Jest","Jest","Wskaźnik",,,,,"tak","stick",false,false,
57,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-02-28T12:16:27.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T06:36:07.000Z","Vestfrost","VM4001WB Aqua","[""biały""]","845fbab3-3ccb-474d-8622-4210c2f5d4cd",999,"2025-03-24",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/140787369#crid=728694&pid=16557","[""noopener"",""nofollow""]","Sprawdź na Ceneo.pl","[""bezworkowy""]",,,2,,,,,220,,82,"Jest",,"[""Akumulatorowe""]","60","3,5",,2000,"Jest","Brak","Brak","Jest",0.25,,0.65,"Jest","Jest","Brak","Jest","Brak","Jest","[""LED""]","4-stopniowy",,,"Brak","Jest","Jest",,"Jest","Jest",,"Jest","[""samostojąca konstrukcja odkurzacza"",""uchwyt bez funkcji ładowania do montażu na ścianie""]",,"Tak","Tak",2.65,24,70,56,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/vestfrost/vf-vm4001wb-aqua/",,60,"Jest",,,"14","60",,"3","tak","stick_wet",false,false,
58,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-02-28T12:26:10.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-22T06:20:46.000Z","Sharp","SA-VP4000WS","[""biały""]","46e89ffc-6a91-41c9-8d0f-5df7b7328592",1099,"2025-03-24",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/140684216#crid=728696&pid=16557","[""noopener"",""nofollow""]","Sprawdź na Ceneo.pl","[""bezworkowy""]",,,2,,,,,220,,82,"Jest",,"[""Akumulatorowe""]","60","3,5",,2000,"Jest","Brak","Brak","Jest",0.25,,0.65,"Jest","Jest","Brak","Jest","Brak","Jest","[""LED""]","4-stopniowy",,,"Brak","Jest","Jest",,"Jest","Jest",,"Jest","[""samostojąca konstrukcja odkurzacza"",""uchwyt bez funkcji ładowania do montażu na ścianie""]",,"Tak","Tak",2.65,24,77,67,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/sharp/sharp-sa-vp4000ws/",,60,"Jest",,,"14","60",,"3","tak","stick_wet",false,false,
59,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-03-04T09:42:01.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-24T13:53:26.000Z","Karcher","VC 4 Cordless myHome","[""czarny""]","dbd10981-1c39-4d9d-bb44-cf2f91e47242",710,"2025-03-04",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/162913127#crid=729029&pid=16557","[""nofollow""]",,"[""bezworkowy""]",,,2,"Brak",,,,250,,78,"Jest",,"[""Akumulatorowe""]","30","5,75",21.6,2500,"Brak","Brak","Brak","Brak",,,0.65,"Jest","Brak","Brak","Brak","Brak","Brak",,"3-stopniowy","Jest","Jest","Brak","Brak","Jest","Brak","Brak","Jest","Brak","Brak","[""stacjaładująca""]",,"Nie","Nie",2.4,24,38,53,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/karcher/vc-4-cordless-myhome/",,,"Jest","Jest","Brak",,,,,"tak","stick",false,false,
60,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-03-04T11:11:11.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-24T13:41:51.000Z","Karcher","VC 7 Signature Line","[""czarno-srebrno-biało-żółty""]","3d4f2dd8-e655-4c2c-8500-858f7884dc80",1849,"2025-03-04",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/163874685#crid=729172&pid=16557","[""nofollow"",""noopener""]","Link do Ceneo.pl","[""bezworkowy""]",,,,"Jest",,,,,,78,"Jest",,"[""Akumulatorowe""]","60","3 godziny, 40 minut",,,,,,,,,,"Jest","Jest",,"Jest",,,"[""LED""]","3-stopniowy","Jest",,"Jest",,"Jest","Brak","Jest",,,,"[""stacjaładująca""]",,,,2.6,,71,66,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/karcher/vc-7-signature-line/",,,,,,"8",,,,"tak",,false,false,
61,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-03-07T10:54:24.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-24T13:48:24.000Z","Tefal","X-Force Flex 8.60 TY9690","[""niebieski""]","cc9bfed9-152a-4167-8b73-e4affe3b47eb",1149,"2025-03-07",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/109641002?srsltid=AfmBOoqd3vBhZ6XipGRw1MKkEavfJKrbn6XYPNUFN7x6qnaISuBHvx6v#crid=729597&pid=16557","[""nofollow""]",,"[""bezworkowy""]",,,2,"Brak",,,,185,,82,"Jest",,"[""Akumulatorowe""]","45","3",22,,"Jest","Brak","Brak","Jest",0.35,,0.55,"Jest","Jest","Brak","Brak","Brak","Brak",,"3-stopniowy","Jest","Jest","Brak","Jest","Jest","Jest","Brak","Jest","Brak","Brak","[""brak""]",,"Tak","Tak",2.7,24,71,59,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/tefal/x-force-flex-8-60/",,,"Jest","Jest","Wskaźnik",,,,"3","tak","stick_wet",false,false,
62,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-03-13T10:39:08.000Z","cc69ec5a-41ac-4c72-81cb-b851e58049a6","2025-03-24T13:37:28.000Z","Xiaomi","Vacuum Cleaner G20 Lite","[""biały""]","10db4e00-da9a-432e-af36-63163809a759",389,"2025-03-13",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/167163125#crid=718934&pid=16557","[""nofollow""]",,"[""bezworkowy""]",,18000,2,"Brak",,,,215,,70,"Brak",,"[""Akumulatorowe""]","45","5",22.2,2200,"Brak","Brak","Brak","Brak",,,,"Jest","Jest","Brak","Brak","Brak","Brak",,"5-stopniowy","Jest","Jest","Brak","Brak","Jest","Brak","Brak","Brak","Jest","Brak","[""uchwytbezładowania""]","[""brak""]","Nie","Nie",2.4,24,83,70,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/xiaomi/vacuum-cleaner-g20-lite/",,,"Jest","Jest","Wskaźnik",,,,,"tak","stick",false,false,
63,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-03-19T13:00:51.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-04-23T08:01:49.000Z","Jimmy","PW11 Pro","[""czarny""]","fae41a8d-5528-486d-b114-8fa97117bf56",1699,"2025-03-24",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/172641546#crid=731418&pid=16557","[""nofollow""]",,"[""bezworkowy""]",110,21000,3,"Jest",,,,460,,80,"Jest",,"[""Akumulatorowe""]","80","5",21.6,4600,"Jest","Jest","Jest","Brak",0.6,0.45,0.3,"Jest","Jest","Brak","Jest","Brak","Jest","[""LED""]","4-stopniowy","Jest","Jest","Jest","Brak","Brak","Brak","Brak","Brak","Jest","Brak","[""samostojacakonstrukcja""]",,"Tak","Tak",4.6,24,89,91,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/jimmy/pw11-pro/",,40,"Jest","Jest","Procentowo","80","40",,"1","tak","odkurzaczmyjacy",false,false,
64,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-03-25T11:09:45.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-04-07T09:23:07.000Z","Hizero","F500","[""biały""]","8b9940c4-745d-4b83-91db-d0cddf1d471a",3549,"2025-03-25",,,,,"[]",,"https://www.ceneo.pl/171983012?srsltid=AfmBOorauBtMs6111jfHhsLcL4SCk0woLyQ2910awL8ODwTB-qKI5Xic#crid=731442&pid=16557","[""nofollow""]",,"[""bezworkowy""]",,,,"Brak",,,,38,90,60,"Brak",,"[""Akumulatorowe""]","60","5",18.25,2150,"Jest","Jest","Jest","Brak",0.5,0.5,,"Brak","Brak","Brak","Brak","Brak","Jest","[""LED""]",,"Brak",,,,"Jest","Brak","Brak","Brak","Brak","Brak","[""samostojacakonstrukcja""]","[""detergent""]","Tak","Tak",4.1,24,37,51,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/hizero/f500/",60,,"Brak","Jest","Wskaźnik",,,,"1","tak","electricmop",false,false,
65,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-03-27T11:03:37.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T07:21:32.000Z","Electrolux","Power Hygienic 800 EP81HB25WU","[""granatowo-złoty""]","9dae1e64-8f61-4036-83bc-bed89605a376",2399,"2025-03-27",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/131301089#crid=705817&pid=16557","[""nofollow""]",,"[""bezworkowy""]",153,,4,"Jest",,,,,260,79,"Jest",,"[""Akumulatorowe""]","60","2,5",25.2,2500,"Jest","Jest","Jest","Jest",,,0.4,"Jest","Jest","Jest","Jest","Brak","Jest","[""LED""]","5-stopniowy","Jest","Jest","Jest","Brak","Jest","Jest","Brak","Brak","Brak","Jest","[""samostojacakonstrukcja""]",,"Nie","Tak",2.9,24,66,63,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/electrolux/power-hygienic-800/",,,"Jest","Jest","Procentowo",,,,"3","tak","stick_wet",false,false,
66,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-04-01T10:04:22.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T06:26:24.000Z","Vileda","PureClean S5 Plus","[""czarny""]","8448168c-bd16-459f-bd68-1efc4ff3c2ae",1199,"2025-03-31",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/180930429#crid=732693&pid=16557","[""nofollow"",""noopener""]","Sprawdź na Ceneo.pl","[""bezworkowy""]",,,2,"Brak",,,,25,550,78,"Jest",,"[""Akumulatorowe""]","30",,31,,"Jest","Jest","Jest","Brak",0.45,0.5,,"Brak","Brak","Brak","Brak","Brak","Jest","[""LED""]","1-stopniowy","Brak","Brak","Brak","Jest","Brak","Brak","Brak","Jest","Brak","Brak","[""stojak"",""samostojacakonstrukcja""]","[""dodatkowy filtr""]","Nie","Tak",3.8,24,,,,,,"odkurzacze/vileda/pureclean-s5-plus",30,,"Brak","Brak","Procentowo",,,0.9,"1","tak","odkurzaczmyjacy",false,false,
