"id","status","sort","user_created","date_created","user_updated","date_updated","brand_name","model","colors","image","price","price_date","price_before","discount_info","partner_name","partner_link_url","partner_link_rel_2","partner_link_title","ceneo_url","ceneo_link_rel_2","ceneo_link_title","vacuum_cleaner_type","suction_power_aw","suction_power_pa","number_of_suction_power_levels","automatic_power_adjustment","suction_power_highest_level_pa","suction_power_medium_level_pa","suction_power_low_level_pa","maximum_engine_power","rotation_speed","noise_level","battery_change","cable_length","power_supply","maximum_operation_time","battery_charging_time","battery_voltage","battery_capacity","mopping_function","active_washing_function","self_cleaning_function","self_cleaning_underlays","clean_water_tank_capacity","dirty_water_tank_capacity","dust_tank_capacity","hand_vacuum_cleaner","led_backlight","uv_technology","detecting_dirt_on_the_floor","detecting_carpet","display","display_type","pollution_filtration_system","cyclone_technology","mesh_filter","hepa_filter","epa_filter","electric_brush","bendable_pipe","turbo_brush","carpet_and_floor_brush","attachment_for_pets","telescopic_tube","charging_station","additional_equipment","for_pet_owners","for_allergy_sufferers","weight","warranty","profitability","capability","capability_points","profitability_points","ranking","review_link","mopping_time_max","vacuuming_time_max","easy_emptying_tank","continuous_work","displaying_battery_status","operation_time_turbo","operation_time_eco","weight_hand","type_of_washing","main_ranking","type","ranking_hidden","is_promo","videorecenzja1"
67,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-04-02T11:08:04.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-04-11T13:10:50.000Z","Beko","ErgoCleanPro VRT84225VB","[""Czarny/srebrny z niebieskimi elementami"",""czarny""]","e1770dec-651e-4c74-a993-9755eef3f656",699,"2025-04-02",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/140417286#crid=732880&pid=16557","[""nofollow"",""noopener""]","Sprawdź na Ceneo.pl","[""bezworkowy""]",,,3,"Brak",,,,350,,81,"Jest",,"[""Akumulatorowe""]","45","4",25.2,,"Jest","Brak","Brak","Jest",0.3,,0.4,"Jest","Jest","Brak","Brak","Brak","Brak","[""LED""]","2-stopniowy","Jest","Brak",,"Jest",,"Jest",,,"Brak","Brak","[""stacja do montażu na ścianie"",""samostojacakonstrukcja""]","[""Ssawka szczelinowa"",""Końcówka 2w1 do kurzu"",""Pojemnik na wodę""]",,"Tak",,24,80,69,,,,"/odkurzacz/beko/ergocleanpro-vrt84225vb/",,45,"Jest","Jest","Procentowo","10","45",,"3","tak","stick_wet",false,false,
68,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-04T10:37:55.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-04-07T08:59:58.000Z","Dyson","WashG1","[""niebieski""]","bbca73e2-a964-4d29-8851-45b81a2c14a9",2399,"2025-04-04",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/173927307#crid=733208&pid=16557","[""noopener"",""nofollow""]",,"[""bezworkowy""]",,,,"Brak",,,,95,,78,"Jest",,"[""Akumulatorowe""]","35","4",,,"Jest","Jest","Jest","Brak",1,0.8,,"Brak","Brak","Brak","Brak","Brak","Jest","[""LCD""]",,"Brak",,,,"Jest","Brak","Brak","Brak","Brak","Brak","[""samostojacakonstrukcja""]",,"Tak","Nie",4.8,24,29,43,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/dyson/washg1/",35,,"Brak","Jest","Procentowo",,,,"1","tak","electricmop",false,false,
69,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-04-08T07:45:40.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-05-13T12:06:04.000Z","Bissell","SpinWave + Vac Pet Pro 3898N","[""srebrny""]","5e353b7f-f3e7-49e5-9851-0d59f2dd3b81",1499,"2025-04-08",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/179159935#crid=733632&pid=16557","[""noopener"",""nofollow""]",,"[""bezworkowy""]",,,3,"Jest",,,,300,,75,"Jest",,"[""Akumulatorowe""]","20","3",25.9,,"Jest","Jest","Brak",,0.74,,0.4,"Brak","Jest",,"Brak",,"Jest","[""LED""]","2-stopniowy","Jest","Brak",,"Jest","Jest","Jest","Brak","Brak","Brak",,"[""stojak""]",,"Tak","Tak",4.3,24,65,53,,,,"/odkurzacz/bissell/spinwave-vac-pet-pro-3898n",70,20,"Brak","Brak","Wskaźnik","20",,,"2","tak","odkurzaczmyjacy",false,false,
70,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-08T11:46:38.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-08T12:02:29.000Z","Roborock","F25 ALT","[""czarny""]","a1b71619-780a-4c71-b7bc-de2fd9049945",2089,"2025-04-08",,,,,"[""nofollow"",""noopener""]",,,"[""nofollow"",""noopener""]",,"[""bezworkowy""]",,,3,"Brak",,,,269,450,75,"Brak",,"[""Akumulatorowe""]","60","4",21.6,4000,"Jest","Jest","Jest","Brak",0.74,0.72,,"Brak","Brak","Brak","Brak","Brak","Jest","[""LED""]","5-stopniowy","Jest","Jest","Jest","Brak","Jest","Brak","Brak","Brak","Brak","Brak","[""samostojacakonstrukcja""]",,"Nie","Tak",4.7,24,65,59,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/roborock/F25-alt-ace/",60,,"Brak","Jest","Procentowo",,,,"1","tak","odkurzaczmyjacy",false,false,
71,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-09T09:58:17.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-10T06:17:36.000Z","Laresar","V7","[""żółty""]","65e79b1c-5de5-4124-99b7-3d37409795c2",547,"2025-04-09",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/176264449?srsltid=AfmBOorx5yU8sqJoGQ1lzvoCGhVfShHGw5jnzhzkyMpjx72_i-PTarC5#crid=733776&pid=16557","[""noopener"",""nofollow""]",,"[""bezworkowy""]",,50000,3,"Jest",,,,500,180,72,"Jest",,"[""Akumulatorowe""]","60","4",25.9,20000,"Brak",,,,,,1.5,"Jest","Jest","Brak","Jest","Brak","Jest","[""LCD""]","5-stopniowy","Jest","Jest","Jest","Brak","Jest","Brak","Brak","Brak","Brak","Brak","[""stacjaładująca""]",,"Nie","Tak",4.1,24,,,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/laresar/v7/",,,"Jest","Jest","Procentowo",,,,,"nie","stick_led",,false,
72,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-10T11:52:14.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T07:19:03.000Z","Tefal","X-Clean 10 GF7540","[""biały""]","663107e2-7c07-4573-bc94-27f314ca709d",2199,"2025-04-10",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/181336780#crid=733999&pid=16557","[""noopener"",""nofollow""]",,"[""bezworkowy""]",,18000,5,"Jest",,,,200,550,72,"Brak",,"[""Akumulatorowe""]","60","3,5",21.6,,"Jest","Jest","Jest","Brak",670,790,,"Brak","Brak","Brak","Jest","Brak","Jest","[""LED""]","1-stopniowy",,"Brak","Brak","Brak","Jest","Brak","Brak","Brak","Brak","Brak","[""samostojacakonstrukcja""]",,"Nie","Nie",4.2,24,68,65,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/tefal/x-clean-10/",,,"Brak","Jest","Procentowo",,,0.8,"1","tak","odkurzaczmyjacy",false,false,
73,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-04-15T07:18:51.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-04-15T10:13:40.000Z","Philips","Aqua 7000","[""czarny""]","0ca157bd-e4a7-4a8d-b707-745065127921",1821,"2025-04-15",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/157742665#crid=734597&pid=16557","[""noopener"",""nofollow""]",,"[""bezworkowy""]",,,,"Jest",,,,,,,,,"[""Akumulatorowe""]",,,,,"Jest","Brak","Brak","Jest",,,0.6,,"Jest",,,"Jest","Jest","[""LCD""]",,,,,,,,,,"Jest",,"[""brak""]",,,,,,,,,,,,,,,,"Procentowo",,"80",,"3","nie",,,false,
74,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-16T10:54:44.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-04-16T12:35:24.000Z","Karcher","FC 8 Smart Signature Line 1.055-711.0","[""biały""]","af76a04f-6c9a-4b2a-a958-1738655914e2",1899,"2025-04-16",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/172713674?srsltid=AfmBOoq1J3hwQMCDYDwyKyEq3vr3CFg6e67dmmAPeWAht_paLmlHJI9z#crid=734916&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",,,3,"Jest",,,,80,400,59,"Brak",,"[""Akumulatorowe""]","60",,25,2850,"Jest","Jest","Jest","Brak",400,200,,"Brak","Jest","Brak","Brak","Brak","Jest","[""LCD""]","3-stopniowy","Brak","Jest","Jest","Brak","Jest","Brak","Brak","Brak","Brak","Brak","[""samostojacakonstrukcja""]",,"Tak","Tak",4.3,24,65,70,,,,"/odkurzacz/karcher/fc-8-smart-signature-line-1-055-711-0/",,,"Brak","Jest","Procentowo",,,,"1","tak","electricmop",false,false,
75,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-04-18T10:49:27.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-25T06:59:52.000Z","Tesla","Purestar E70 Aqua Pro","[""czarny"",""czarno-niebieski""]","f427bdfc-54b9-4755-9623-1d32f0105872",869,"2025-04-18",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/163335477#crid=735200&pid=16557","[""nofollow"",""noopener""]","Sprawdź na Ceneo.pl","[""bezworkowy""]",,,2,"Brak",,,,300,,66,"Jest",,"[""Akumulatorowe""]","60","4",29.6,2200,"Jest","Brak","Brak","Jest",,,1,"Jest","Jest","Brak","Brak","Brak","Brak","[""LED""]","2-stopniowy","Jest","Brak","Jest","Brak","Jest","Jest","Jest","Jest","Brak","Brak","[""uchwytbezładowania""]","[""Ssawka szczelinowa"",""Końcówka 2w1 do kurzu"",""Pojemnik na wodę""]","Nie","Tak",2.5,24,78,67,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/tesla/purestar-e70-aqua-pro/?srsltid=AfmBOoqgcG0I2AJ482MO_ucWM_-LLBq42tzQF_3IW2VY6reOrOOGromF",,60,"Jest","Jest","Wskaźnik","10","60",,"3","tak","stick_wet",false,false,
76,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-22T09:11:00.000Z","309a04ad-6ef4-473d-a546-8f933d59bfd8","2025-05-15T06:18:50.000Z","Jimmy","PW11 Pro Max","[""czarny""]","ed017644-80d9-49cd-a1b3-1fc6537c9f9f",2099,"2025-04-22",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/170956779?srsltid=AfmBOoqgSqiRNVVoHmDW6Z9Q8xY0rdOcEV5QSQzh_PtP-2AyVfc08-sg#crid=735474&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",110,21000,3,"Jest",,,,460,,80,"Jest",,"[""Akumulatorowe""]","80","5",21.6,4600,"Jest","Jest","Jest","Brak",0.6,0.45,0.3,"Jest","Jest","Jest","Jest","Brak","Jest","[""LED""]","4-stopniowy","Jest","Jest","Jest","Brak","Jest","Brak","Brak","Brak","Jest","Brak","[""samostojacakonstrukcja""]",,"Tak","Tak",4.6,24,87,90,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/jimmy/pw11-pro-max/",,40,"Jest","Jest","Procentowo","80","40",,"1","tak","stick_wet",false,false,
77,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-04-24T10:48:04.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T06:32:37.000Z","Dreame","Z30 Aquacycle","[""srebrny"",""czarno-srebrny""]","9f302d30-732a-4ef7-b892-9efc5a86dd99",2599,"2025-04-24",,,,,"[""nofollow"",""noopener""]",,,"[""nofollow"",""noopener""]","Sprawdź na Ceneo.pl","[""bezworkowy""]",310,28000,3,"Jest","28000",,,,,,"Jest",,"[""Akumulatorowe""]","90","4",29.6,3200,"Jest","Jest","Brak","Jest",0.25,,0.6,"Jest","Jest",,"Jest","Jest","Jest","[""LED""]","5-stopniowy","Jest","Jest","Brak","Brak","Jest","Jest","Jest","Jest","Jest",,"[""uchwyt ze stacją ładującą"",""stacja do montażu na ścianie""]","[""Wąż przedłużający"",""Dysza szczelinowa"",""Szczotka wielofunkcyjna"",""Dysza szczotkowa 2w1"",""Minielektroszczotka do materacy""]","Tak","Nie",3.15,,73,76,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/dreame/z30-aquacycle/",40,90,"Jest","Jest","Wskaźnik","10","90",,"1","tak","stick_wet",false,false,
78,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-04-24T12:10:38.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T07:09:38.000Z","GÖTZE & JENSEN","VV700","[""czarny""]","d1bb7493-5291-4a79-af9a-c8770ec01f82",1199,"2025-04-24",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/160725961?srsltid=AfmBOopXoa2b_jmSzfrUdmNO8Gm3xRoBHA4M4An26srF7IrLmHjL_AvF#crid=735901&pid=16557","[""noopener"",""nofollow""]",,"[""bezworkowy""]",,26500,3,"Brak",,,,450,,60,"Jest",,"[""Akumulatorowe""]","60","3,5",21.6,4000,"Brak","Brak","Brak","Brak",,,0.6,"Jest","Jest","Brak","Brak","Brak","Jest","[""LED""]","5-stopniowy","Jest","Jest","Jest","Brak","Jest","Jest","Brak","Brak","Jest","Brak","[""stacjaładująca""]",,"Tak","Tak",1.6,24,93,92,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/goetze-jensen/vv700/",,,"Jest","Jest","Procentowo",,,,,"tak","stick_led",false,false,
79,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-04-28T08:14:07.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-05-13T12:04:32.000Z","Bissell","CrossWave HydroSteam PET Pro 3528N","[""czarny""]","26bb2fc3-c650-4d45-8c05-d27e48a149ff",2079,"2025-04-28",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/158657076#crid=736286&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",30,,,,,,,1100,,,,7.5,"[""Sieciowe""]",,,,,"Jest","Jest","Jest","Jest",820,640,,,"Jest","Brak",,,"Brak",,,,,,,,,,,,,,,,,5.67,,,,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/bissell/crosswave-hydrosteam-pet-pro-3528n/",,,,,,,,,"2","nie","odkurzaczmyjacy",,false,
80,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-06T07:03:27.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T07:09:51.000Z","Shark","Detect Pro IW3611EU","[""biały""]","2b3a4add-4aa1-4b5e-ae87-9be6f0f38262",1159,"2025-05-06",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/167806452?srsltid=AfmBOopyX0EmgQg3H41tEK8docqa5M5K4JbtrN8dzA1oaK7Dj9WJhmJ7#crid=737213&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",,16000,3,"Jest",,,,240,,80,"Brak",,"[""Akumulatorowe""]","60","4,5",21.6,2500,"Brak",,,,,,,"Jest","Jest","Brak","Jest","Jest","Jest","[""LED""]","3-stopniowy","Jest","Jest","Jest","Brak","Jest","Jest","Brak","Brak","Brak","Brak","[""samostojacakonstrukcja""]",,"Tak","Tak",2.78,60,61,82,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/shark/detect-pro-iw3611eu/",,,"Jest","Jest","Procentowo",,,,,"tak","stick_electro",false,false,
81,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2025-05-06T11:36:29.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-05-09T14:16:22.000Z","Dreame","H15 Pro","[""czarny""]","43e8838b-2878-4bae-a911-3c208dbad1ad",2299,"2025-05-06",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/181476191#crid=737260&pid=16557","[""nofollow"",""noopener""]","Sprawdź na Ceneo.pl","[""bezworkowy""]",,21000,3,"Jest","21000",,,,,76,"Jest",,"[""Akumulatorowe""]","60","4",21.6,5200,"Jest","Jest","Brak","Jest",0.78,0.7,,"Jest","Jest",,"Jest","Jest","Jest","[""LED""]","5-stopniowy","Jest","Jest","Brak","Jest","Jest","Jest","Brak","Jest","Brak",,"[""uchwyt ze stacją ładującą"",""stacja do montażu na ścianie""]","[""Dysza szczelinowa"",""Szczotka wielofunkcyjna"",""Dysza szczotkowa 2w1"",""Minielektroszczotka do materacy""]","Tak","Nie",5.8,24,,,,,,"/odkurzacz/dreame/h15-pro",40,60,"Jest","Jest","Procentowo","10","60",,"1","nie","odkurzaczmyjacy",false,false,
82,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-07T09:55:31.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T07:12:12.000Z","Samsung","Jet 75E Complete","[""srebrny""]","5ae2a1d5-60c0-4e41-ba21-5af449fd77f6",1499,"2025-05-07",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/156419089?srsltid=AfmBOopP5mzS1vqv2T1z7Z9HbmhwkYPv5Y6IvGVIAWbctEWvcnsSYGiS#crid=737235&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",,,3,"Brak",,,,550,,86,"Jest",,"[""Akumulatorowe""]","60","3,5",21.6,2000,"Brak",,,,,,0.8,"Jest","Jest","Brak","Brak","Brak","Jest","[""LED""]","5-stopniowy","Jest","Jest","Jest","Brak","Jest","Brak","Brak","Brak","Brak","Brak","[""uchwytbezładowania""]",,"Tak","Tak",2.6,24,68,57,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/samsung/jet-75e-complete/",,,"Jest","Jest","Wskaźnik",,,,,"tak","stick",false,false,
83,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-09T12:28:58.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T07:15:14.000Z","Dyson","V15S Detect Submarine","[""srebrny""]","d73ec860-f657-4ef3-8030-2c84f75a18df",3244,"2025-05-09",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/159411838?srsltid=AfmBOoqt3WyG4xsV6E2oOI9th5yBv9Gu-T98I8A0bBgVxTcBILV4_PFZ#crid=737947&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",240,,3,"Jest",,,,550,,76,"Jest",,"[""Akumulatorowe""]","120","4",25.2,3600,"Jest","Jest","Brak","Brak",0.3,0.36,0.77,"Jest","Jest","Brak","Jest","Jest","Jest","[""LCD""]","5-stopniowy","Jest","Jest","Jest","Brak","Jest","Brak","Brak","Brak","Jest","Brak","[""stacjaładująca""]",,"Tak","Tak",2.7,24,80,88,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/dyson/v15s-detect-submarine/",120,60,"Jest","Jest","Procentowo","20","60",,"1","tak","stick_wet",false,false,
84,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-14T10:38:39.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-05-15T07:13:55.000Z","Xiaomi","Truclean W10 Ultra Wet Dry Vacuum","[""biały""]","261b7e32-2643-4c1c-8b7e-f658098bebd2",2299,"2025-05-14",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/140540423#crid=738471&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",,,3,"Jest",,,,220,900,83,"Jest",,"[""Akumulatorowe""]","35","5",21.6,3860,"Jest","Jest","Jest","Brak",745,640,,"Brak","Brak","Brak","Jest","Brak","Jest","[""LED""]","3-stopniowy","Brak","Jest","Brak","Brak","Jest","Brak","Brak","Brak","Brak","Brak","[""samostojacakonstrukcja""]",,"Tak","Tak",5.4,24,49,43,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/xiaomi/truclean-w10-ultra-wet-dry-vacuum/",,,"Brak","Jest","Procentowo",,,,"1","tak","odkurzaczmyjacy",false,false,
85,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-05-20T09:18:57.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-05-21T10:13:39.000Z","Dreame","R20 Aqua","[""srebrny""]","32b3b324-9ba9-4428-b247-5c3ae676945f",1503,"2025-05-20",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/176099758#crid=739085&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",,27000,,,,,,190,,,"Jest",,"[""Akumulatorowe""]","90","4",,,"Jest","Jest",,"Jest",0.2,,0.2,"Jest","Jest",,"Jest",,"Jest","[]",,,,,"Jest","Jest",,,"Jest","Jest",,,,,,1.76,,,,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/dreame/r20-aqua/",,,"Jest",,"Procentowo",,,,"2","nie","stick_wet",,false,
86,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-06-11T08:10:06.000Z",,,"Zelmer","Zelmer ZSVC912BF PET Paweł","[""czarny""]","46b0a57a-eda0-461c-af26-1f7d7b193980",1099,"2025-06-11",,,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/183770002#crid=741464&pid=16557","[""nofollow"",""noopener""]",,"[""bezworkowy""]",,,,,,,,500,,78,"Jest",,"[""Akumulatorowe""]","55","5",,,"Brak",,,,,,0.6,"Jest","Jest",,"Jest",,"Jest",,,,,,"Jest","Jest","Jest","Jest",,,,"[""brak""]",,,,4.3,,,,,,,,,,,,,,,,,"nie","stick_electro",,false,
87,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-06-18T06:58:32.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-06-18T10:22:56.000Z","Beldray","Odkurzacz pionowy z technologią cyklonową","[""srebrny""]","1773d6f5-90e8-418f-8229-36af2cc9ceca",169,"2025-06-18",,,,,"[""nofollow"",""noopener""]",,"https://www.lidl.pl/p/beldray-odkurzacz-pionowy-z-technologia-cyklonowa-600-w/p100389852","[""nofollow"",""noopener""]",,"[""bezworkowy""]",,,,"Brak",,,,600,,,"Brak",5,"[""Sieciowe""]",,,,,"Brak","Brak","Brak","Brak",,,,"Jest","Brak","Brak","Brak","Brak","Brak",,,"Jest","Brak","Brak","Brak","Jest","Brak","Brak","Jest","Brak","Jest","[""brak""]",,"Nie","Nie",2.75,24,,,,,,"https://ranking-oczyszczaczy.pl/odkurzacz/pionowy/lidl/",,,"Jest","Brak","Brak",,,,,"nie","stick",,false,
88,"published",,"e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2025-06-24T07:40:09.000Z",,,"Greenote","GSC60","[""niebieski""]","8cdd50ca-ca49-489e-ab56-87732892d1ca",499,"2025-06-24",,,,,"[""nofollow"",""noopener""]",,"https://home.biedronka.pl/greenote-odkurzacz-pionowy-greenote-gsc60-bezprzewodowy-33-kpa-z-akcesoriami-000000000000596331.html","[""nofollow"",""noopener""]",,"[""bezworkowy""]",,33000,3,"Brak",,,,480,180000,70,"Jest",,"[""Akumulatorowe""]","55","3,5",,2500,"Brak","Brak","Brak","Brak",,,1.2,"Jest","Jest","Brak","Brak","Brak","Jest","[""LED""]","5-stopniowy","Jest","Jest","Jest","Brak","Jest","Brak","Brak","Jest","Jest","Jest","[""uchwytbezładowania""]",,"Tak","Tak",2.3,24,,,,,,,,,"Jest","Jest","Procentowo","13",,,,"nie","stick",,false,